epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,7146.15,1.89288,1.59156,2.31877,0.86026,0.91648,0.93869,0.76093,1.34202,0.98572,1.99456,0.000587248,0.000587248,0.000587248
121,7211.56,1.86883,1.6116,2.30556,0.85634,0.93335,0.94447,0.77067,1.30581,0.92234,1.97549,0.000580174,0.000580174,0.000580174
122,7272.71,1.87765,1.62226,2.31041,0.86712,0.9045,0.93074,0.76511,1.28101,0.98991,1.9799,0.0005731,0.0005731,0.0005731
123,7331.43,1.84878,1.58371,2.31348,0.88552,0.92145,0.94261,0.77605,1.30146,0.94338,1.98383,0.000566027,0.000566027,0.000566027
124,7389.67,1.88489,1.62378,2.32644,0.87423,0.92189,0.93979,0.76248,1.3247,0.98878,1.98609,0.000558953,0.000558953,0.000558953
125,7448.17,1.8401,1.60006,2.29972,0.89813,0.90638,0.94166,0.76088,1.32911,0.96008,2.00858,0.00055188,0.00055188,0.00055188
126,7508.39,1.81804,1.60161,2.29389,0.8783,0.92342,0.94063,0.75951,1.34275,0.93895,2.00472,0.000544806,0.000544806,0.000544806
127,7567.44,1.87555,1.59146,2.31178,0.88874,0.91748,0.94579,0.76371,1.35023,0.94309,2.0134,0.000537733,0.000537733,0.000537733
128,7627,1.87382,1.57614,2.30613,0.86242,0.93764,0.94349,0.75788,1.33464,0.96189,2.01682,0.000530659,0.000530659,0.000530659
129,7686.36,1.82726,1.5698,2.29616,0.90096,0.90897,0.95341,0.77451,1.32047,0.89643,1.99953,0.000523586,0.000523586,0.000523586
130,7743.62,1.83455,1.57808,2.29546,0.88404,0.91614,0.95162,0.78029,1.28612,0.90607,1.98722,0.000516512,0.000516512,0.000516512
131,7804.63,1.83483,1.55465,2.28652,0.87092,0.9057,0.94856,0.775,1.29482,0.92064,1.99702,0.000509438,0.000509438,0.000509438
132,7862.97,1.82799,1.59882,2.30284,0.89812,0.91067,0.95076,0.77461,1.29182,0.9071,1.99777,0.000502365,0.000502365,0.000502365
133,7920.34,1.81914,1.54694,2.28395,0.84738,0.93952,0.94412,0.77468,1.28233,0.91043,1.9875,0.000495291,0.000495291,0.000495291
134,7977.6,1.79926,1.55825,2.27833,0.91502,0.87626,0.95132,0.77693,1.28414,0.92449,1.99265,0.000488218,0.000488218,0.000488218
135,8038.65,1.81963,1.51568,2.28285,0.86533,0.92019,0.94752,0.75772,1.29772,0.9719,2.00264,0.000481144,0.000481144,0.000481144
136,8097.11,1.7744,1.50956,2.25812,0.87656,0.89169,0.94992,0.76755,1.30165,0.97539,1.99802,0.000474071,0.000474071,0.000474071
137,8152.9,1.79605,1.55496,2.28357,0.87035,0.90754,0.94591,0.7684,1.288,0.96671,1.98219,0.000466997,0.000466997,0.000466997
138,8207.6,1.77754,1.48692,2.26481,0.87866,0.90258,0.95391,0.77581,1.2854,0.93595,1.98267,0.000459924,0.000459924,0.000459924
139,8266.56,1.78931,1.49792,2.2748,0.88327,0.91112,0.95152,0.77486,1.28615,0.93798,1.98441,0.00045285,0.00045285,0.00045285
140,8325.71,1.79399,1.52167,2.27543,0.87824,0.92186,0.95782,0.78272,1.271,0.94301,1.98576,0.000445777,0.000445777,0.000445777
141,8388.08,1.74722,1.49618,2.26162,0.88541,0.91053,0.95219,0.77617,1.28799,0.97977,1.99311,0.000438703,0.000438703,0.000438703
142,8446.57,1.75998,1.50152,2.25884,0.8536,0.9058,0.94649,0.77786,1.26544,0.96909,1.99487,0.000431629,0.000431629,0.000431629
